ID,VAR1,VAR2,VAR3,OUTCOME
43524,85,0,172.033,1
41590,50,0,0,1
43589,73,0,0,1
25978,30,0,0,1
28484,92,0,0,1
44844,33,0,0,1
43652,68,0,0,0
25157,25,0,0,1
25293,72,0,4.01667,1
28085,41,0,0,0
30973,71,0,201.117,1
43201,74,0,8.63333,0
44438,56,0,0,0
37553,80,0,0,1
37694,79,0,0,1
29366,25,0,215.033,0
30132,35,0,0,1
42208,78,0,0,0
40354,56,0,0,1
44619,41,0,0,1
37324,67,0,0,1
37885,73,0,0,1
39990,50,0,0,1
36985,63,0,0,1
40361,46,0,0,1
34663,38,0,0,0
37559,60,0,0,1
37631,32,0,0,1
37890,17,0,0,1
44418,53,0,0,1
40293,38,0,0,1
40366,45,0,6.33333,1
44624,26,0,0,1
44692,30,0,0,1
26378,62,0,0,1
39998,86,0,0,1
32183,62,0,241,1
37133,78,0,2.73333,1
26889,45,0,0,0
42407,60,0,0,1
44213,43,0,0,0
42603,76,0,0,0
30094,72,0,251.283,1
30292,25,0,0,1
29570,29,0,0,1
36085,22,0,0,0
37897,29,0,63.2333,0
30017,77,0,80.45,1
38923,67,0,16.3167,1
30056,80,0,0,1
28879,70,0,93.35,1
40298,60,0,1091.85,1
33164,73,0,0,1
28106,46,0,0,1
31642,82,0,0,1
37903,83,0,278.283,1
42271,73,0,0,1
44639,65,0,0,1
44719,80,0,322.917,0
26461,60,0,88.35,0
26454,25,0,0,0
30024,24,0,0,1
37906,24,0,0,0
37576,64,0,0,0
44727,25,0,0,1
37551,69,0,0,0
25231,21,0,0,0
36227,93,0,91.05,1
37554,27,0,0,0
41442,82,0,0,1
39979,24,0,0,1
34400,65,0,0,1
26851,19,0,0,0
44406,21,0,0,0
44629,67,0,0,1
27499,25,0,0,1
25556,76,0,0,1
37886,88,0,0,1
26861,89,0,0,1
44703,23,0,0,1
37560,61,0,0,0
36172,25,0,0,1
42313,26,0,0,0
33567,28,0,73.2667,1
26446,72,0,6.5,0
31238,63,0,0,1
28628,65,0,6.28333,1
42118,48,0,0,1
44781,58,0,0,0
37698,50,0,0,0
34523,73,0,119.883,0
39991,55,0,0,1
44419,61,0,0,1
37220,82,0,0,1
37701,85,0,157.467,0
28308,47,0,0,0
37706,79,0,0,1
44713,56,0,0,0
26348,32,0,0,0
37709,65,0,0,1
43048,75,0,189,1
42587,81,0,2.2,0
44635,93,0,565.7,1
36828,88,0,0,1
44435,35,0,0,1
44715,36,0,0,1
43097,26,0,93.8167,0
28676,17,0,80.7,0
31345,74,0,116.533,0
37720,65,0,0,1
31835,24,0,0,1
25518,39,0,0,1
32391,17,0,0,0
30125,74,0,0,1
26995,26,0,0,0
43049,27,0,8.71667,0
32465,28,0,0,1
44728,19,0,0,1
44647,24,0,0,0
37879,31,0,0,0
44442,37,0,0,1
33075,69,0,0,1
40277,56,0,0,0
37555,25,0,0,1
29033,77,0,0,1
36609,49,0,0,0
44705,23,0,0,0
36656,49,0,0,1
32624,46,0,0,1
39980,89,0,0,0
37881,34,0,0,1
44409,22,0,0,0
40351,33,0,20.2,0
37627,80,0,0,1
39985,81,0,366.517,0
37887,57,0,0,1
40355,21,0,0,0
31015,80,0,0,1
37633,75,0,6.83333,1
37443,32,0,0,1
32069,50,0,0,0
38831,67,0,0,1
39028,77,0,0,1
33850,62,0,0,1
40367,79,0,0,1
40216,58,0,0,1
25599,51,0,3.43333,1
40554,61,0,0,0
31746,33,0,0,0
28777,54,0,0,1
40368,22,0,0,0
34822,50,0,0,1
44711,32,0,0,1
27782,28,0,0,1
39769,57,0,0,0
40296,21,0,0,1
40290,48,0,0,0
35656,23,0,0,1
37568,61,0,0,0
36302,61,0,0,1
33153,39,0,9.71667,1
37613,27,0,0,1
44439,37,0,0,1
31308,98,0,721.117,1
40344,74,0,0,1
42266,32,0,0,0
44648,62,0,0,1
37547,90,0,1.83333,1
37687,70,0,0,1
29623,46,0,0,1
34508,30,0,360.8,1
40349,33,0,262.917,1
28037,69,0,0,1
44653,19,0,0,0
37852,36,0,0,1
30830,48,0,0,1
39981,27,0,0,0
31643,48,0,0,0
35033,73,0,0,1
37623,29,0,0,1
44415,52,0,528.033,1
40356,71,0,3.06667,1
36514,46,0,0,0
31230,38,0,0,0
28477,34,0,0,1
39765,47,0,6.4,1
37634,93,0,0,1
39995,27,0,0,0
36491,23,0,0,1
44708,88,0,0,1
37561,45,0,15.9167,1
28766,18,0,0,0
40636,52,0,0,1
40005,42,0,23,1
30687,66,0,0,0
30364,38,0,0,1
42717,43,0,12.0667,1
30348,66,0,0,1
40299,40,0,0,0
44716,72,0,62.8167,1
37439,28,0,0,0
37901,98,0,0,0
44436,20,0,0,0
44723,30,0,0,1
37644,57,0,845.083,0
25690,48,0,5.63333,1
33120,65,0,412.8,1
39969,64,0,0,1
40273,60,0,0,1
44642,33,0,0,1
25718,60,0,2.21667,0
39974,31,0,28,0
43243,67,0,310.717,1
32120,29,0,0,1
37614,51,0,0,0
44729,95,0,0,1
39977,31,0,0,0
44348,72,0,98.2667,0
40280,22,0,0,0
44654,39,0,0,0
40731,43,0,4.46667,1
30454,33,0,0,1
30382,75,0,118.717,1
37692,71,0,0,1
29304,62,0,31.0833,1
39982,60,0,0,1
40352,79,0,0,1
44634,84,0,0,1
37695,67,0,0,0
44707,78,0,0,1
31074,74,0,0,0
29470,79,0,0,1
37557,67,0,0,1
27034,48,0,0,1
43668,30,0,0,1
44420,64,0,0,0
44421,42,0,0,1
44625,82,0,0,1
27221,96,0,359.083,1
37703,33,0,0,1
32299,46,0,306.917,1
29969,69,0,0,0
39320,61,0,1083.32,1
35160,83,0,256.4,1
37329,81,0,103.883,1
43797,83,0,57.85,1
44908,75,0,872.967,0
42727,86,0,669.95,1
30333,79,0,3.38333,1
44630,85,0,0,1
32354,82,0,0,1
42967,86,0,310.483,0
26013,35,0,684.917,1
30008,86,0,0,1
34241,80,0,0,1
31777,102,0,70.0667,1
42384,69,0,0,1
41593,85,0,51.6667,1
37098,91,0,0,1
26149,85,0,151.35,1
26010,78,0,0,1
42137,63,0,0,1
40373,88,0,492.867,1
34024,36,0,73.6,0
37177,83,0,0,1
44725,69,0,206.083,1
26988,87,0,312.467,1
36458,53,0,0,1
28176,29,0,11.0667,1
39996,31,0,0,0
40370,61,0,5.86667,1
37650,88,0,0,1
37882,33,0,0,1
40357,40,0,0,0
44700,83,0,246.633,1
37635,75,0,0,1
40350,52,0,342.567,1
30548,84,0,266.85,1
28602,71,0,14.8333,0
37892,63,0,3.18333,1
26049,70,0,95.2,1
28013,85,0,182.25,0
32331,82,0,40.3,1
40002,63,0,18.6833,1
37638,50,0,22,1
35216,36,0,142.183,1
32506,73,0,868.1,1
28002,70,0,0,1
44712,65,0,195.433,1
36671,64,0,17.4833,1
29963,87,0,1962.07,1
35855,72,0,1414.88,1
40007,74,0,0,1
37899,21,0,0,0
30586,30,0,0,0
32264,39,0,371.5,1
40300,43,0,44.8167,0
25666,75,0,995.217,1
43922,88,0,0,1
40975,27,0,0,0
26892,41,0,245.55,1
37558,56,0,0,1
41572,72,0,266.033,0
42841,19,0,1362.35,1
43919,77,0,291.133,1
44074,54,0,547.8,1
32417,70,0,0,1
43548,70,0,2.16667,1
28752,32,0,0,1
43296,57,0,0,0
43228,63,0,166.4,0
25609,20,0,0,0
41677,27,0,0,1
41665,84,0,0,1
28293,40,0,0,0
35126,93,0,2.25,0
37905,78,0,76.9333,1
27545,85,0,71.55,1
40275,20,0,0,1
30461,96,0,0,1
35782,74,0,0,1
34961,88,0,716.867,1
28306,35,0,9.65,0
28402,96,0,0,1
43800,75,0,244.833,1
40478,41,0,0,0
37615,29,0,0,0
37902,79,0,149.867,1
26667,27,0,0,1
37179,45,0,0,1
44595,68,0,0,0
29072,45,0,44.3167,1
28611,77,0,0,0
29484,88,0,0,1
44411,39,0,845.617,1
35650,71,0,0,0
33052,65,0,422.067,1
39970,81,0,20.6333,1
37697,67,0,19.5667,1
39992,37,0,239.05,1
44416,71,0,644.233,1
37888,56,0,86.6667,0
40744,74,0,8.66667,1
41796,58,0,108.367,0
29103,76,0,17.1667,1
44626,88,0,994.5,1
42314,58,0,0,1
40003,34,0,0,1
25999,26,0,0,0
27880,45,0,68.8833,1
42815,56,0,0,0
44017,67,0,0,0
36670,56,0,0,1
27841,94,0,0,1
44427,85,0,0,1
36983,60,0,65.2167,0
40968,74,0,9.9,1
44431,23,0,0,1
40363,22,0,48.5833,0
28356,74,0,0,1
43894,84,0,176.733,1
29206,61,0,120.917,1
37642,65,0,327.883,0
40009,41,0,142.617,1
28671,100,0,1460.43,0
41041,55,0,4984.7,0
44352,22,0,0,1
33152,19,0,18.75,0
44646,38,0,52.5,1
